"arch","test","p_value"
"Feature Concentration","et1",0.163791438280034
"Feature Concentration","ar1",0.15775380611882
"Feature Concentration","it1",0.140280436459505
"Feature Concentration","gf1",0.182216133181416
"Cyclic Dependency","et1",0.507382113740238
"Cyclic Dependency","ar1",0.48192123486431
"Cyclic Dependency","it1",0.386131209392594
"Cyclic Dependency","gf1",0.634973577728226
"Unstable Dependency","et1",0.0302680330874756
"Unstable Dependency","ar1",0.0334973793692431
"Unstable Dependency","it1",0.0895530360791831
"Unstable Dependency","gf1",0.11114199050748
"God Component","et1",0.544952180053011
"God Component","ar1",0.515523468294729
"God Component","it1",0.395299977347726
"God Component","gf1",0.628762146064175
