"arch","test","p_value"
"Cyclic Dependency","ar1",0.0400208149566786
"Cyclic Dependency","et1",0.0895341677704251
"Cyclic Dependency","se1",0.0127699507833377
"Cyclic Dependency","it1",0.125509760175569
"Cyclic Dependency","gf1",0.0522209553425407
"Cyclic Dependency","mg1",0.0127699507833388
"Cyclic Dependency","ro1",0.0127699507833388
"God Component","ar1",0.346741008312576
"God Component","et1",0.320155872437872
"God Component","se1",0.152159819289401
"God Component","it1",0.462792060032524
"God Component","gf1",0.723449366672259
"God Component","mg1",0.152159819289401
"God Component","ro1",0.152159819289401
"Unstable Dependency","ar1",0.0616375710250186
"Unstable Dependency","et1",0.151982063677892
"Unstable Dependency","se1",0.0422855508838232
"Unstable Dependency","it1",0.155231500017426
"Unstable Dependency","gf1",0.0797896031207539
"Unstable Dependency","mg1",0.0422855508838253
"Unstable Dependency","ro1",0.0422855508838253
"Feature Concentration","ar1",0.000616574040309438
"Feature Concentration","et1",0.0908014719859927
"Feature Concentration","se1",0.00209414444317904
"Feature Concentration","it1",0.40998383940445
"Feature Concentration","gf1",0.237110578758311
"Feature Concentration","mg1",0.00209414444317901
"Feature Concentration","ro1",0.00209414444317901
