"arch","test","p_value"
"Dense Structure","ar1",0.441762255900316
"Dense Structure","et1",0.441761707325949
"Dense Structure","gf1",0.441810550717552
"Dense Structure","mg1",0.441754827789478
"Dense Structure","it1",0.441754827789478
"Dense Structure","ro1",0.441754827789478
"Dense Structure","se1",0.441754827789479
"Feature Concentration","ar1",0.126721048249211
"Feature Concentration","et1",0.126643740184132
"Feature Concentration","gf1",0.13941735934407
"Feature Concentration","mg1",0.12469536813371
"Feature Concentration","it1",0.12469536813371
"Feature Concentration","ro1",0.12469536813371
"Feature Concentration","se1",0.12469536813371
"God Component","ar1",0.507330968403574
"God Component","et1",0.507251374996242
"God Component","gf1",0.525650532089741
"God Component","mg1",0.505230364629001
"God Component","it1",0.505230364629001
"God Component","ro1",0.505230364629001
"God Component","se1",0.505230364629001
"Cyclic Dependency","ar1",0.29741420825683
"Cyclic Dependency","et1",0.297323607773211
"Cyclic Dependency","gf1",0.306826728318511
"Cyclic Dependency","mg1",0.29501998364444
"Cyclic Dependency","it1",0.29501998364444
"Cyclic Dependency","ro1",0.29501998364444
"Cyclic Dependency","se1",0.295019983644441
"Unstable Dependency","ar1",0.977382667135698
"Unstable Dependency","et1",0.977524926205035
"Unstable Dependency","gf1",0.977426734300557
"Unstable Dependency","mg1",0.981160239076161
"Unstable Dependency","it1",0.981160239076161
"Unstable Dependency","ro1",0.981160239076161
"Unstable Dependency","se1",0.98116023907622
