"arch","test","p_value"
"Dense Structure","it1",0.332233494750354
"Dense Structure","ar1",0.824791135804475
"Dense Structure","et1",0.939063336800817
"Dense Structure","se1",0.955927042652899
"Dense Structure","mg1",0.795279001705659
"Dense Structure","gf1",0.694149328851302
"Dense Structure","ro1",0.791029093662494
"Cyclic Dependency","it1",0.0306745378053057
"Cyclic Dependency","ar1",0.679123714521753
"Cyclic Dependency","et1",0.659751018829065
"Cyclic Dependency","se1",0.533143904586399
"Cyclic Dependency","mg1",0.291455069648185
"Cyclic Dependency","gf1",0.256650999079008
"Cyclic Dependency","ro1",0.915270603401617
"Feature Concentration","it1",0.0522856076025981
"Feature Concentration","ar1",0.499275953813542
"Feature Concentration","et1",0.799551495377047
"Feature Concentration","se1",0.741304891721313
"Feature Concentration","mg1",0.408996684446759
"Feature Concentration","gf1",0.0782831480938306
"Feature Concentration","ro1",0.027950540030608
"Unstable Dependency","it1",0.559690902091662
"Unstable Dependency","ar1",0.877912804526634
"Unstable Dependency","et1",0.604681431079597
"Unstable Dependency","se1",0.549501022582241
"Unstable Dependency","mg1",0.846949158417304
"Unstable Dependency","gf1",0.784777330169277
"Unstable Dependency","ro1",0.555453833917921
"God Component","it1",0.9763192711961
"God Component","ar1",0.0328209355942869
"God Component","et1",0.0788018455228048
"God Component","se1",0.114352254595854
"God Component","mg1",0.0380866234083369
"God Component","gf1",0.00928867909018125
"God Component","ro1",0.999999953003563
