HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because addImportFromSubpackage is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because ifControlFlow is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because doWhileControlFlow is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because tryCatchFinallyControlFlow is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedType is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedMember is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedWithSingleAttribute is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedWithSingleValueAttribute is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedWithTwoNonArrayAttributes is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedWithThreeNonArrayAttributes is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because annotatedWithAttributes is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because parameterizedType is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because compressType is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because compressDeeperType is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because compressNestedType is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because compressWildcardType is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because compressSimpleNameCollisionInSamePackage is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because compressJavaLangClass is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because compressJavaLangSubPackageClass is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because configurableIndent is more interested in members of the type: JavaWriter
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriterTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 50 public methods
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.example,Binding,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: 
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.example,Binding,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriter,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 32 public methods
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because typeDeclaration is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because enumDeclaration is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because fieldDeclaration is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because fieldDeclarationWithInitialValue is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because abstractMethodDeclaration is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because nonAbstractMethodDeclaration is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because constructorDeclaration is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because statement is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because multiLineStatement is more interested in members of the type: JavaWriter
fee0bc45e6885e614157dfc2f54e871f1079eba6,Wed May 08 22:25:47 CEST 2013,javapoet-clone2,com.squareup.java,JavaWriterTest,Feature Envy,The tool detected a instance of this smell because addImport is more interested in members of the type: JavaWriter
