HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
a5db06d05f8bd799cef194af28ace07427e2d07e,Wed May 16 17:19:28 CEST 2018,javapoet-clone9,com.squareup.javapoet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationSpec; Builder; Visitor; ClassName; CodeBlock; Builder; CodeBlockJoiner; CodeWriter; FieldSpec; Builder; JavaFile; Builder; LineWrapper; MethodSpec; Builder; ParameterizedTypeName; ParameterSpec; Builder; TypeName; TypeSpec; Builder; TypeVariableName; Util; WildcardTypeName; AbstractTypesTest; AnnotatedTypeNameTest; IsAnnotated; ClassNameTest; OuterClass; $Outer; CodeBlockTest; FieldSpecTest; FileReadingTest; FileWritingTest; JavaFileTest; LineWrapperTest; MethodSpecTest; ParameterSpecTest; TestFiler; Source; TypeNameTest; TestGeneric; TypesEclipseTest; CompilationRule; TypeSpecTest; TypesTest; UtilTest; ArrayTypeName]; [NameAllocator; NameAllocatorTest]; [Parameterized]; [Recursive]; [AnnotationSpecTest]; [InnerClass]; [$Inner]; [Everything]; [Generics]; [HasAnnotation]; [Throws; ExtendsOthers]; [ExtendsIterableWithDefaultMethods]; [FinalClass]; [InvalidOverrideMethods]; [Inner]; [InnerGeneric]; [NestedNonGeneric]. LCC (Lack of Component Cohesion) = 0.26
b09d944edd6029434aac2e14cff14df0f4bb521e,Sun Apr 29 23:10:21 CEST 2018,javapoet-clone8,com.squareup.javapoet,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 67
b09d944edd6029434aac2e14cff14df0f4bb521e,Sun Apr 29 23:10:21 CEST 2018,javapoet-clone8,com.squareup.javapoet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationSpec; Builder; Visitor; ClassName; CodeBlock; Builder; CodeBlockJoiner; CodeWriter; FieldSpec; Builder; JavaFile; Builder; LineWrapper; MethodSpec; Builder; ParameterizedTypeName; ParameterSpec; Builder; TypeName; TypeSpec; Builder; TypeVariableName; Util; WildcardTypeName; AbstractTypesTest; DeclaredTypeAsErrorType; AnnotatedTypeNameTest; IsAnnotated; ClassNameTest; OuterClass; $Outer; CodeBlockTest; FieldSpecTest; FileReadingTest; FileWritingTest; JavaFileTest; LineWrapperTest; MethodSpecTest; ParameterSpecTest; TestFiler; Source; TypeNameTest; TestGeneric; TypesEclipseTest; CompilationRule; TypeSpecTest; TypesTest; UtilTest; ArrayTypeName]; [NameAllocator; NameAllocatorTest]; [Parameterized]; [Recursive]; [AnnotationSpecTest]; [InnerClass]; [$Inner]; [Everything]; [Generics]; [HasAnnotation]; [Throws; ExtendsOthers]; [ExtendsIterableWithDefaultMethods]; [FinalClass]; [InvalidOverrideMethods]; [Inner]; [InnerGeneric]; [NestedNonGeneric]. LCC (Lack of Component Cohesion) = 0.25
8b5db1a19db6366841a9ce31d526482c8b35e745,Thu Jan 09 17:27:58 CET 2020,javapoet-clone3,com.squareup.javapoet,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 82
8b5db1a19db6366841a9ce31d526482c8b35e745,Thu Jan 09 17:27:58 CET 2020,javapoet-clone3,com.squareup.javapoet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationSpec; Builder; Visitor; ClassName; CodeBlock; Builder; CodeBlockJoiner; CodeWriter; Multiset; FieldSpec; Builder; JavaFile; Builder; LineWrapper; RecordingAppendable; MethodSpec; Builder; ParameterizedTypeName; ParameterSpec; Builder; TypeName; TypeSpec; Builder; TypeVariableName; Util; WildcardTypeName; AbstractTypesTest; AnnotatedTypeNameTest; IsAnnotated; ClassNameTest; OuterClass; $Outer; CodeBlockTest; CodeWriterTest; FieldSpecTest; FileReadingTest; FileWritingTest; JavaFileTest; Foo; FooInterface; Parent; Pattern; ParentInterface; Optional; LineWrapperTest; MethodSpecTest; ParameterSpecTest; TestFiler; Source; TypeNameTest; TestGeneric; TypesEclipseTest; CompilationRule; TypeSpecTest; TypesTest; UtilTest; ArrayTypeName]; [NameAllocator; NameAllocatorTest]; [Parameterized]; [Recursive]; [AnnotationSpecTest]; [InnerClass]; [$Inner]; [NestedTypeA]; [NestedTypeB]; [NestedTypeA]; [NestedTypeB]; [Everything]; [Generics]; [HasAnnotation]; [Throws; ExtendsOthers]; [ExtendsIterableWithDefaultMethods]; [FinalClass]; [InvalidOverrideMethods]; [VariableElementFieldClass]; [VariableElementParameterClass]; [TestUtil]; [Inner]; [InnerGeneric]; [NestedNonGeneric]. LCC (Lack of Component Cohesion) = 0.29
9451a362adee16bbf7be382c2a95772fae2c48d1,Mon Jan 20 15:53:47 CET 2020,javapoet-clone12,com.squareup.javapoet,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 82
9451a362adee16bbf7be382c2a95772fae2c48d1,Mon Jan 20 15:53:47 CET 2020,javapoet-clone12,com.squareup.javapoet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationSpec; Builder; Visitor; ClassName; CodeBlock; Builder; CodeBlockJoiner; CodeWriter; Multiset; FieldSpec; Builder; JavaFile; Builder; LineWrapper; RecordingAppendable; MethodSpec; Builder; ParameterizedTypeName; ParameterSpec; Builder; TypeName; TypeSpec; Builder; TypeVariableName; Util; WildcardTypeName; AbstractTypesTest; AnnotatedTypeNameTest; IsAnnotated; ClassNameTest; OuterClass; $Outer; CodeBlockTest; CodeWriterTest; FieldSpecTest; FileReadingTest; FileWritingTest; JavaFileTest; Foo; FooInterface; Parent; Pattern; ParentInterface; Optional; LineWrapperTest; MethodSpecTest; ParameterSpecTest; TestFiler; Source; TypeNameTest; TestGeneric; TypesEclipseTest; CompilationRule; TypeSpecTest; TypesTest; UtilTest; ArrayTypeName]; [NameAllocator; NameAllocatorTest]; [Parameterized]; [Recursive]; [AnnotationSpecTest]; [InnerClass]; [$Inner]; [NestedTypeA]; [NestedTypeB]; [NestedTypeA]; [NestedTypeB]; [Everything]; [Generics]; [HasAnnotation]; [Throws; ExtendsOthers]; [ExtendsIterableWithDefaultMethods]; [FinalClass]; [InvalidOverrideMethods]; [VariableElementFieldClass]; [VariableElementParameterClass]; [TestUtil]; [Inner]; [InnerGeneric]; [NestedNonGeneric]. LCC (Lack of Component Cohesion) = 0.29
714e05ca60179285746604452324262b126dcb2d,Thu Jun 18 17:11:11 CEST 2020,javapoet-clone5,com.squareup.javapoet,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 83
714e05ca60179285746604452324262b126dcb2d,Thu Jun 18 17:11:11 CEST 2020,javapoet-clone5,com.squareup.javapoet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationSpec; Builder; Visitor; ClassName; CodeBlock; Builder; CodeBlockJoiner; CodeWriter; Multiset; FieldSpec; Builder; JavaFile; Builder; LineWrapper; RecordingAppendable; MethodSpec; Builder; ParameterizedTypeName; ParameterSpec; Builder; TypeName; TypeSpec; Builder; TypeVariableName; Util; WildcardTypeName; AbstractTypesTest; AnnotatedTypeNameTest; IsAnnotated; ClassNameTest; OuterClass; $Outer; CodeBlockTest; CodeWriterTest; FieldSpecTest; FileReadingTest; FileWritingTest; JavaFileTest; Foo; FooInterface; Parent; Pattern; ParentInterface; Optional; LineWrapperTest; MethodSpecTest; ParameterSpecTest; TestFiler; Source; TypeNameTest; TestGeneric; TypesEclipseTest; CompilationRule; TypeSpecTest; TypesTest; UtilTest; ArrayTypeName]; [NameAllocator; NameAllocatorTest]; [Parameterized]; [Recursive]; [AnnotationSpecTest]; [InnerClass]; [$Inner]; [NestedTypeA]; [NestedTypeB]; [NestedTypeA]; [NestedTypeB]; [Everything]; [Generics]; [HasAnnotation]; [Throws; ExtendsOthers]; [ExtendsIterableWithDefaultMethods]; [FinalClass]; [InvalidOverrideMethods]; [AbstractClassWithPrivateAnnotation]; [VariableElementFieldClass]; [VariableElementParameterClass]; [TestUtil]; [Inner]; [InnerGeneric]; [NestedNonGeneric]. LCC (Lack of Component Cohesion) = 0.3
5ca6d5b206bccb53305ad6235df45a173e983297,Thu Jun 18 17:43:13 CEST 2020,javapoet-clone10,com.squareup.javapoet,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 83
5ca6d5b206bccb53305ad6235df45a173e983297,Thu Jun 18 17:43:13 CEST 2020,javapoet-clone10,com.squareup.javapoet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationSpec; Builder; Visitor; ClassName; CodeBlock; Builder; CodeBlockJoiner; CodeWriter; Multiset; FieldSpec; Builder; JavaFile; Builder; LineWrapper; RecordingAppendable; MethodSpec; Builder; ParameterizedTypeName; ParameterSpec; Builder; TypeName; TypeSpec; Builder; TypeVariableName; Util; WildcardTypeName; AbstractTypesTest; AnnotatedTypeNameTest; IsAnnotated; ClassNameTest; OuterClass; $Outer; CodeBlockTest; CodeWriterTest; FieldSpecTest; FileReadingTest; FileWritingTest; JavaFileTest; Foo; FooInterface; Parent; Pattern; ParentInterface; Optional; LineWrapperTest; MethodSpecTest; ParameterSpecTest; TestFiler; Source; TypeNameTest; TestGeneric; TypesEclipseTest; CompilationRule; TypeSpecTest; TypesTest; UtilTest; ArrayTypeName]; [NameAllocator; NameAllocatorTest]; [Parameterized]; [Recursive]; [AnnotationSpecTest]; [InnerClass]; [$Inner]; [NestedTypeA]; [NestedTypeB]; [NestedTypeA]; [NestedTypeB]; [Everything]; [Generics]; [HasAnnotation]; [Throws; ExtendsOthers]; [ExtendsIterableWithDefaultMethods]; [FinalClass]; [InvalidOverrideMethods]; [AbstractClassWithPrivateAnnotation]; [VariableElementFieldClass]; [VariableElementParameterClass]; [TestUtil]; [Inner]; [InnerGeneric]; [NestedNonGeneric]. LCC (Lack of Component Cohesion) = 0.3
ebb7d3ce593d9ae587e120f8a1e566555f9e074b,Thu Jun 18 21:21:06 CEST 2020,javapoet-clone4,com.squareup.javapoet,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 83
ebb7d3ce593d9ae587e120f8a1e566555f9e074b,Thu Jun 18 21:21:06 CEST 2020,javapoet-clone4,com.squareup.javapoet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationSpec; Builder; Visitor; ClassName; CodeBlock; Builder; CodeBlockJoiner; CodeWriter; Multiset; FieldSpec; Builder; JavaFile; Builder; LineWrapper; RecordingAppendable; MethodSpec; Builder; ParameterizedTypeName; ParameterSpec; Builder; TypeName; TypeSpec; Builder; TypeVariableName; Util; WildcardTypeName; AbstractTypesTest; AnnotatedTypeNameTest; IsAnnotated; ClassNameTest; OuterClass; $Outer; CodeBlockTest; CodeWriterTest; FieldSpecTest; FileReadingTest; FileWritingTest; JavaFileTest; Foo; FooInterface; Parent; Pattern; ParentInterface; Optional; LineWrapperTest; MethodSpecTest; ParameterSpecTest; TestFiler; Source; TypeNameTest; TestGeneric; TypesEclipseTest; CompilationRule; TypeSpecTest; TypesTest; UtilTest; ArrayTypeName]; [NameAllocator; NameAllocatorTest]; [Parameterized]; [Recursive]; [AnnotationSpecTest]; [InnerClass]; [$Inner]; [NestedTypeA]; [NestedTypeB]; [NestedTypeA]; [NestedTypeB]; [Everything]; [Generics]; [HasAnnotation]; [Throws; ExtendsOthers]; [ExtendsIterableWithDefaultMethods]; [FinalClass]; [InvalidOverrideMethods]; [AbstractClassWithPrivateAnnotation]; [VariableElementFieldClass]; [VariableElementParameterClass]; [TestUtil]; [Inner]; [InnerGeneric]; [NestedNonGeneric]. LCC (Lack of Component Cohesion) = 0.3
