,Unnecessary Abstraction,Broken Modularization,Broken Hierarchy,Unutilized Abstraction,Deficient Encapsulation,Cyclically-dependent Modularization,Feature Envy,Insufficient Modularization,Wide Hierarchy,Unexploited Encapsulation,Missing Hierarchy,Multifaceted Abstraction,Imperative Abstraction
Unnecessary Abstraction,1.0,0.07,0.05,0.38,0.05,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0
Broken Modularization,0.78,1.0,0.03,0.21,0.28,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.0
Broken Hierarchy,0.17,0.01,1.0,0.37,0.02,0.01,0.2,0.08,0.02,0.0,0.0,0.0,0.0
Unutilized Abstraction,0.22,0.01,0.07,1.0,0.01,0.01,0.05,0.07,0.0,0.0,0.0,0.0,0.0
Deficient Encapsulation,0.48,0.25,0.05,0.24,1.0,0.03,0.13,0.02,0.0,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.27,0.01,0.07,0.3,0.1,1.0,0.13,0.07,0.0,0.0,0.0,0.0,0.0
Feature Envy,0.04,0.0,0.19,0.25,0.04,0.01,1.0,0.18,0.01,0.0,0.0,0.0,0.0
Insufficient Modularization,0.11,0.01,0.12,0.55,0.01,0.01,0.29,1.0,0.0,0.0,0.0,0.0,0.0
Wide Hierarchy,0.41,0.13,0.79,0.41,0.0,0.0,0.49,0.0,1.0,0.0,0.0,0.0,0.0
Unexploited Encapsulation,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Missing Hierarchy,0.2,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0
Multifaceted Abstraction,0.0,0.33,0.0,0.33,0.33,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0
Imperative Abstraction,0.29,0.0,0.19,0.29,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,1.0
