"name","fork project","commits","branches","default branch","releases","contributors","license","watchers","stargazers","forks","size","created","pushed","updated","homepage","main language","total issues","open issues","total pull requests","open pull requests","last commit","last commit SHA","has wiki","is archived","languages","labels"
"jessyancoding/androidautosize","false","331","1","master","14","4","Apache License 2.0","203","10915","1576","3121","2018-08-17 09:04:19.0","2020-07-15 07:47:56.0","2020-12-09 06:47:03.0","","Java","318","31","7","0","2020-07-15 07:47:54.0","ee03f086a64f6f1aef450a97ac0d3174732457e0","true","false","",""
"justauth/justauth","false","589","3","master","39","21","MIT License","282","11026","1956","9152","2019-01-31 09:42:20.0","2021-03-29 03:04:03.0","2021-03-29 09:42:09.0","https://justauth.wiki","Java","59","25","52","2","2021-02-19 09:58:39.0","e3f5f49ec82ced31de70d8e3b0486ec3173d8973","true","false","Java,Shell","bug,dependencies,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix"
"konloch/bytecode-viewer","false","297","1","master","48","19","GNU General Public License v3.0","383","11941","859","574390","2014-10-14 10:26:46.0","2021-03-15 15:08:34.0","2021-03-15 19:02:15.0","https://bytecodeviewer.com","Java","228","63","58","3","2020-07-26 01:45:10.0","a306db20ab1aaa110a9e0e89606b779f4349d08f","false","false","Java,HTML,Batchfile,Python","Bug,Discussion,Enhancement,Linux Bug,OSX Bug,Question"
"lipangit/jiaozivideoplayer","false","1858","3","develop","90","25","MIT License","323","10296","2416","143896","2016-02-06 11:04:24.0","2020-09-14 19:02:20.0","2020-12-09 15:26:40.0","","Java","2643","254","72","8","2019-12-26 08:57:02.0","3db479b1a816965336fa5884708037a0a2971c33","true","false","",""
"lmax-exchange/disruptor","false","1148","17","master","10","43","Apache License 2.0","1312","13539","3328","8939","2012-09-21 13:42:24.0","2021-03-21 00:41:32.0","2021-03-21 03:31:12.0","http://lmax-exchange.github.io/disruptor/","Java","237","13","119","2","2021-03-19 14:32:18.0","3b5ec74facb180b340ec0bd229cf3be3d715f28c","true","false","Java,HTML,Shell","bug,documentation,duplicate,enhancement,invalid,performance,question,testing,wontfix"
"looly/hutool","false","1742","2","v5-master","81","92","Other","594","18215","5433","36956","2014-04-13 07:23:51.0","2021-03-14 02:09:36.0","2021-03-14 02:08:55.0","http://www.hutool.cn","Java","1152","0","316","0","2021-03-12 16:18:39.0","83ed9b1f9b2fe0b72e820c4181af57c364b877b4","false","false","Java,Shell,HTML,JavaScript,FreeMarker","bug,duplicate,enhancement,help wanted,invalid,question,wontfix"
"lucksiege/pictureselector","false","2611","2","master","91","4","Apache License 2.0","190","10060","2241","199443","2017-01-04 07:47:39.0","2021-03-24 11:21:01.0","2021-03-24 12:27:45.0","","Java","1865","371","30","13","2021-03-24 11:21:01.0","e2d9d0fd49ce0db9e1580287dd7862417fe8b24b","true","false","Java","bug,duplicate,enhancement,help wanted,invalid,question,wontfix"
"material-components/material-components-android","false","3780","7","master","34","139","Apache License 2.0","415","12117","2316","58378","2016-12-05 16:11:29.0","2021-03-25 18:50:57.0","2021-03-25 18:51:02.0","","Java","1799","662","341","43","2021-03-25 18:50:26.0","ffb2ad14ffaeb82901ff31ec79051f3c1ac068a3","false","false","Java","Awaiting Design Feedback,Good First Issue,Merged,Needs Investigation,P0,P1,P2,P3,P4,Rejected,Waiting For Merge,Work In Progress (WIP) PR,bug,cla: no,cla: yes,cleanup,duplicate,enhancement,feature request,help wanted,invalid,new component,not reproducible,process,question,studio,wontfix"
"medcl/elasticsearch-analysis-ik","false","252","4","master","128","36","Apache License 2.0","611","11749","2656","7584","2011-12-16 09:01:45.0","2021-03-29 15:09:07.0","2021-03-29 15:41:08.0","","Java","772","287","94","12","2020-09-06 08:34:40.0","5a1b8c8da629a05bd7c16245da5cbe0d3a0dad1c","true","false","Java",""
"mockito/mockito","false","5504","40","release/3.x","160","212","MIT License","434","11649","2071","47020","2012-10-13 20:27:12.0","2021-03-29 20:55:26.0","2021-03-29 20:47:17.0","http://mockito.org","Java","1177","286","1069","15","2021-03-29 20:47:13.0","c5be5c3144af9198acf3f33190c0f45718627a2f","true","false","Java,Kotlin,XSLT,Groovy,Shell","1.* incompatible,2.* incompatible,BDD,Groovy-lang,OSGI,WIP,android,awaiting response,bug,build,byte-buddy-1.8.0,community feedback,continuous integration,dependencies,docs,duplicate,enhancement,epic,exploring idea,feedback-needed,final-class-or-methods,framework integrations,in progress,injection,invalid,java,java-10,java-11,java-12,java-8,java-9,junit5,kotlin,maybe,new feature,not needed,noteworthy,on hold,please contribute,question,ready,refactoring,strictness,testng,wontfix"
