,ar1,et1,se1,mg1,gf1,it1,ro1
ar1,1.0,0.91,0.13,0.02,0.08,0.03,0.01
et1,0.75,1.0,0.15,0.02,0.07,0.02,0.01
se1,0.68,1.0,1.0,0.0,0.05,0.0,0.0
mg1,0.67,1.0,0.0,1.0,0.0,0.0,0.33
gf1,0.73,0.82,0.09,0.0,1.0,0.09,0.0
it1,1.0,0.67,0.0,0.0,0.33,1.0,0.0
ro1,1.0,1.0,0.0,1.0,0.0,0.0,1.0
