,ar1,et1,it1,gf1,mg1,ro1,se1
ar1,1.0,0.21,0.11,0.2,0.02,0.02,0.03
et1,0.7,1.0,0.29,0.4,0.05,0.05,0.0
it1,0.85,0.64,1.0,0.44,0.0,0.0,0.0
gf1,0.92,0.54,0.27,1.0,0.0,0.0,0.0
mg1,1.0,0.75,0.0,0.0,1.0,1.0,0.0
ro1,1.0,0.75,0.0,0.0,1.0,1.0,0.0
se1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
