,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,1.0,1.0,0.03,0.53,0.0,0.0,1.0
Unutilized Abstraction,0.12,0.1,0.04,0.01,0.01,0.02,0.16
Feature Envy,0.04,0.04,0.01,0.01,0.01,0.01,0.15
Broken Hierarchy,0.5,0.5,0.37,0.03,0.11,0.17,0.04
Broken Modularization,0.04,0.0,0.0,0.0,0.0,0.0,0.04
Insufficient Modularization,0.04,0.08,0.0,0.0,0.0,0.0,0.14
Wide Hierarchy,0.21,0.27,0.09,0.02,0.09,0.09,0.43
Unnecessary Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
