,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.04,0.04,0.01,0.02,0.01,0.69,0.12
Unutilized Abstraction,0.09,0.09,0.03,0.0,0.06,0.74,0.36
Feature Envy,0.04,0.04,0.0,0.03,0.01,1.0,0.03
Broken Hierarchy,0.0,0.0,0.0,0.0,0.0,1.0,0.12
Broken Modularization,0.07,0.07,0.0,0.03,0.04,0.37,0.43
Insufficient Modularization,0.18,0.18,0.0,0.0,0.18,0.08,0.76
Wide Hierarchy,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Unnecessary Abstraction,1.0,1.0,0.0,0.0,1.0,0.67,1.0
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
