,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.5,0.5,0.5,0.5,0.48,0.5,0.02
Unutilized Abstraction,0.35,0.35,0.35,0.35,0.33,0.35,0.02
Feature Envy,1.0,1.0,1.0,1.0,1.0,1.0,0.09
Broken Hierarchy,0.51,0.51,0.42,0.42,0.11,0.11,0.09
Broken Modularization,1.0,1.0,0.79,0.67,0.13,0.14,0.01
Insufficient Modularization,1.0,1.0,1.0,1.0,0.45,0.48,0.02
Wide Hierarchy,1.0,1.0,1.0,1.0,0.95,1.0,0.05
Unnecessary Abstraction,0.86,0.89,0.4,0.33,0.07,0.07,0.0
Multifaceted Abstraction,0.22,0.22,0.22,0.22,0.22,0.22,0.04
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,1.0,1.0,1.0,1.0,1.0,1.0,0.17
