,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,1.0,1.0,1.0,0.5,0.8,1.0,0.0
Unutilized Abstraction,1.0,1.0,1.0,0.5,0.8,1.0,0.0
Feature Envy,0.81,1.0,0.78,0.19,0.3,0.44,0.0
Broken Hierarchy,1.0,1.0,1.0,0.83,1.0,1.0,0.0
Broken Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insufficient Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
