,ar1,et1,it1,gf1,mg1,ro1,se1
ar1,1.0,0.93,0.06,0.43,0.06,0.04,0.01
et1,0.92,1.0,0.06,0.44,0.07,0.04,0.02
it1,0.98,1.0,1.0,0.63,0.0,0.0,0.03
gf1,0.98,1.0,0.08,1.0,0.12,0.06,0.02
mg1,0.94,0.98,0.0,0.81,1.0,0.6,0.0
ro1,0.9,0.97,0.0,0.68,1.0,1.0,0.0
se1,0.37,1.0,0.07,0.3,0.0,0.0,1.0
